기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20201,A,골목상권,3110520,경의중앙 신촌역,561483,242179,319303,57783,258082,84330,55047,50907,55333,101781,94894,76655,88333,128986,70833,77970,78636,79651,78979,79650,84334,82262
20201,A,골목상권,3110511,연희초등학교,935135,479921,455214,68586,397650,138397,94963,85878,149662,284144,195895,98437,92301,136009,128351,132687,135532,135533,135111,132864,130597,132811
20201,A,골목상권,3110509,연희대우아파트앞,990131,454825,535305,105388,305159,200056,124660,98771,156097,252669,203362,118183,122445,166101,127372,138691,141073,140897,140236,139822,143989,145423
20194,D,발달상권,3120104,연남동(홍대),4552122,2002783,2549340,412118,1390040,988277,679807,417779,664103,912470,789703,596563,669731,982121,601535,618316,626708,640780,637503,670186,715009,643621
20194,D,발달상권,3120103,홍대입구역(홍대),5241780,2446078,2795703,693947,2269358,970775,574377,331213,402110,912056,683324,706523,880801,1313353,745722,645409,679663,711881,713343,791012,932705,767767
20194,D,발달상권,3120096,"이화여대(이대역, 이대)",1263164,458108,805055,128414,541998,180907,132688,122362,156795,272414,245181,174061,183212,237094,151205,178248,181008,184457,181535,183410,183369,171138
20194,D,발달상권,3120094,"신촌역(신촌역, 신촌로터리)",7217011,3257736,3959274,706224,3426105,1096353,671093,589493,727744,1140382,1104441,1041972,1177003,1797241,955972,945645,993729,1012280,1012320,1077498,1167365,1008174
20194,D,발달상권,3120093,연희동,579051,265161,313892,51832,177677,101369,77669,62787,107717,112203,115575,83400,81863,115702,70307,81456,82045,83299,82466,83338,83997,82452
20194,A,골목상권,3110582,이대역 5번,622323,257663,364660,55971,228005,83951,71179,79255,103959,169737,138969,79446,73788,88262,72120,89625,88940,89206,88552,88381,89531,88086
20194,A,골목상권,3110580,양원초등학교,648483,308364,340118,73968,187627,84871,81277,81062,139679,194585,156043,83053,68022,71864,74914,96810,96204,97004,94199,96159,86583,81522
20194,A,골목상권,3110569,홍대땡땡거리,958243,429105,529137,115982,301325,164846,115691,106456,153942,227967,188125,124052,127959,174683,115458,130253,132017,134965,134995,138728,147177,140105
20194,A,골목상권,3110566,경의선책거리,1800096,797001,1003095,217537,611068,352174,216803,158899,243615,335377,319508,253980,286054,388100,217075,239334,245617,254211,252744,261712,285359,261118
20194,A,골목상권,3110526,봉원사,165740,62966,102774,21568,61871,21139,17986,17271,25902,32989,38807,27331,25738,24932,15944,25668,25832,24554,24671,24426,20461,20129
20194,A,골목상권,3110520,경의중앙 신촌역,763561,307147,456414,83266,360147,112567,70678,64420,72483,137404,128483,102477,118407,177540,99249,101128,103767,106871,105583,108540,119892,117781
20194,A,골목상권,3110511,연희초등학교,967508,485557,481951,75092,428954,138518,91142,84048,149752,306512,207034,99651,90577,133542,130191,137575,139434,138667,139543,137272,135965,139050
20194,A,골목상권,3110509,연희대우아파트앞,1070171,476727,593444,96003,353549,215058,135003,105759,164798,290395,219315,121143,124088,174752,140479,146002,147198,152353,150699,150340,160364,163217
20193,D,발달상권,3120104,연남동(홍대),4617882,2048499,2569383,432007,1411601,994912,677226,427985,674153,947332,818709,605864,670619,969879,605480,640103,651897,661815,649870,663841,695211,655147
20193,D,발달상권,3120103,홍대입구역(홍대),5017128,2352950,2664178,680139,2135515,923983,554225,318093,405172,891287,662779,664916,832911,1253656,711578,644639,656609,672070,679286,741821,867779,754925
20193,D,발달상권,3120096,"이화여대(이대역, 이대)",1177626,435460,742165,128299,481540,176181,127432,114773,149401,250499,225158,163182,172868,224688,141232,168226,170758,171578,167452,168029,170458,161124
20193,D,발달상권,3120094,"신촌역(신촌역, 신촌로터리)",6996770,3173320,3823451,742622,3283989,1038415,650249,558756,722741,1097888,1092533,1028071,1154674,1719836,903768,958362,989665,1002123,980026,1021054,1079093,966448
20193,D,발달상권,3120093,연희동,560953,257530,303423,51906,168147,99861,74154,59101,107783,109877,112149,80872,79123,110746,68186,79302,80496,80604,78461,79760,81939,80390
20193,A,골목상권,3110582,이대역 5번,601659,251126,350532,59499,201440,81856,73004,78325,107535,163053,132083,76446,71692,87526,70857,87273,87970,87058,86119,85187,85113,82940
20193,A,골목상권,3110580,양원초등학교,620629,295545,325084,74645,158535,90006,81027,76824,139590,190906,145434,74590,63905,71614,74180,92423,93539,94199,90647,89820,82268,77734
20193,A,골목상권,3110569,홍대땡땡거리,918527,414428,504098,123955,280867,154460,111461,98727,149058,220510,183931,119352,121352,164363,109016,127975,130295,131884,128617,130189,137054,132511
20193,A,골목상권,3110566,경의선책거리,1666407,733389,933018,201131,561008,328926,205879,145789,223674,322360,299484,231579,255940,355078,201967,224194,234248,236475,233059,239265,255499,243668
20193,A,골목상권,3110526,봉원사,153507,60497,93009,20994,50867,21262,17376,16995,26013,32773,36234,24422,22720,22250,15107,23394,24087,23927,22828,22038,18840,18395
20193,A,골목상권,3110520,경의중앙 신촌역,754157,305813,448343,85659,348712,113843,72394,61682,71866,132963,126329,103570,119061,175205,97030,102307,103231,105458,102885,105230,118087,116956
20193,A,골목상권,3110511,연희초등학교,928291,464270,464022,74110,391338,135904,90182,81463,155296,304978,200221,92071,83731,122108,125182,135607,136874,136082,132028,127111,128333,132255
20193,A,골목상권,3110509,연희대우아파트앞,1065350,471117,594233,105736,342734,212451,135687,103674,165068,281055,215950,121777,127253,178651,140664,147667,148647,152543,148637,149123,157593,161138
20192,D,발달상권,3120104,연남동(홍대),4630875,2051610,2579264,405605,1375060,1031314,688940,429374,700582,971695,829941,603106,659893,958333,607906,631099,638413,649786,654669,680993,718290,657627
20192,D,발달상권,3120103,홍대입구역(홍대),5092495,2395815,2696679,661608,2161357,957912,558527,322927,430163,861235,699657,707448,855052,1267438,701663,643275,653824,679508,703276,777151,886031,749429
20192,D,발달상권,3120096,"이화여대(이대역, 이대)",1264686,446046,818640,141876,540422,176382,130718,115577,159710,261176,247701,177560,184775,242270,151203,177190,178607,183712,184469,184809,184838,171061
20192,D,발달상권,3120094,"신촌역(신촌역, 신촌로터리)",7194841,3182642,4012199,773668,3374807,1031645,660049,586907,767765,1142606,1129700,1042772,1160728,1772998,946039,955013,979457,1001323,1014489,1086926,1157989,999647
20192,D,발달상권,3120093,연희동,593595,267600,325996,52648,179092,101895,77071,64608,118280,120339,122175,82345,80330,114633,73774,83233,83987,85183,84315,85814,86294,84772
20192,A,골목상권,3110582,이대역 5번,559763,234662,325101,59867,196978,70544,63883,71758,96734,163960,128574,67881,61819,73455,64075,80687,81310,81692,80831,79863,77816,77566
20192,A,골목상권,3110580,양원초등학교,647221,298098,349123,86150,175509,89274,81728,73740,140819,196115,152952,79427,67530,74405,76794,96496,95979,97275,95400,95850,85191,81029
20192,A,골목상권,3110569,홍대땡땡거리,901207,399007,502200,114525,282274,150955,109799,94764,148890,216068,179625,116735,118720,162002,108059,123211,124850,127040,125868,129496,138737,132005
20192,A,골목상권,3110566,경의선책거리,1642684,726105,916579,173072,564025,332117,202874,140697,229896,328443,298985,224522,246150,344328,200255,220072,223928,230071,230311,240110,258335,239855
20192,A,골목상권,3110526,봉원사,166446,62315,104130,26136,59986,21301,16958,16677,25386,34666,39144,26988,25215,24502,15933,25169,26352,26132,25959,24191,19756,18889
20192,A,골목상권,3110520,경의중앙 신촌역,753206,289627,463580,83252,358925,107330,70874,58701,74124,129622,129211,104131,116946,175530,97767,98671,97459,102812,105213,107876,121941,119235
20192,A,골목상권,3110511,연희초등학교,926525,462908,463617,73916,419142,128168,83122,76134,146044,314638,203254,88281,78997,116947,124407,133482,134517,132605,133502,130817,129947,131655
20192,A,골목상권,3110509,연희대우아파트앞,1019360,449966,569394,94652,340162,203344,126529,97087,157587,273250,207527,114412,119195,168792,136183,139447,139892,143843,142553,143974,153845,155808
20191,D,발달상권,3120104,연남동(홍대),4886313,2175475,2710838,484029,1413723,1040852,721504,460476,765728,1031949,881097,635546,703178,1004216,630327,667199,664204,683211,696850,726185,756134,692529
20191,D,발달상권,3120103,홍대입구역(홍대),5208176,2467105,2741072,733357,2199966,940928,563794,324000,446130,877283,684045,701539,895799,1329060,720450,655282,670113,683372,719081,797409,919300,763618
20191,D,발달상권,3120096,"이화여대(이대역, 이대)",1256624,464326,792298,138498,508423,177549,137565,126781,167805,259672,244158,176231,186408,240523,149631,176411,173625,178261,182306,183583,187515,174923
20191,D,발달상권,3120094,"신촌역(신촌역, 신촌로터리)",7461247,3413892,4047355,812275,3476129,1041893,683424,611986,835540,1158640,1147151,1087967,1235520,1860933,971038,999380,994608,1030817,1074073,1141534,1192314,1028521
20191,D,발달상권,3120093,연희동,607472,280640,326833,51141,175499,104276,81148,68755,126654,120007,122557,86029,85036,118551,75294,84898,84115,85470,87149,88156,90403,87280
20191,A,골목상권,3110582,이대역 5번,528539,227722,300818,58470,176546,65458,64718,70981,92368,156241,121033,63727,57938,69025,60574,75783,75552,75958,75956,74863,75080,75346
20191,A,골목상권,3110580,양원초등학교,548877,259240,289637,68101,143680,79558,71153,64547,121839,169180,126193,65640,56597,64587,66679,81062,81182,82339,80432,77827,74739,71300
20191,A,골목상권,3110569,홍대땡땡거리,931041,419303,511739,124384,278728,154164,112659,99750,161357,216899,184546,124124,126593,168412,110466,127360,127017,130650,132523,135587,142593,135310
20191,A,골목상권,3110566,경의선책거리,1651653,736094,915559,193404,557606,320129,196315,141850,242351,314926,296702,230574,259591,352861,197001,220891,221488,230265,235802,243039,258849,241321
20191,A,골목상권,3110526,봉원사,159136,61939,97197,19734,52475,21936,18201,18126,28663,34754,37261,24710,23109,23376,15925,23944,23711,23684,24575,23183,20417,19621
20191,A,골목상권,3110520,경의중앙 신촌역,758388,307391,450998,83958,348684,106676,74481,62757,81834,131932,128360,103954,120035,176091,98018,100211,99444,103256,104974,108447,122743,119316
20191,A,골목상권,3110511,연희초등학교,814127,409292,404834,67550,342826,116166,79130,71965,136488,273752,177318,78840,71023,103398,109795,116498,117044,116275,116930,114166,115681,117532
20191,A,골목상권,3110509,연희대우아파트앞,1085344,484104,601240,105421,344521,215892,134424,106848,178239,289349,219779,125684,129816,179258,141459,147433,148264,154228,149746,156731,164794,164149
